PROBE DENGAN MASSCAN: 	192.168.0.0/21 2.23s
HOST DITEMUKAN: 192.168.7.121 port 135 TCP 2.23s
DEEP SCAN: 192.168.7.121 3.73s
HOST DITEMUKAN: 192.168.3.213 port 445 TCP 5.90s
DEEP SCAN: 192.168.3.213 6.59s
HOST DITEMUKAN: 192.168.3.213 port 139 TCP 11.38s
HOST DITEMUKAN: 192.168.3.213 port 135 TCP 11.38s
HOST DITEMUKAN: 192.168.7.249 port 80 TCP 11.38s
DEEP SCAN: 192.168.7.249 13.97s
HOST DITEMUKAN: 192.168.5.5 port 139 TCP 16.90s
HOST DITEMUKAN: 192.168.5.2 port 21 TCP 16.94s
DEEP SCAN: 192.168.5.5 20.28s
DEEP SCAN: 192.168.5.2 21.11s
HOST DITEMUKAN: 192.168.5.5 port 135 TCP 23.00s
HOST DITEMUKAN: 192.168.7.121 port 445 TCP 23.00s
HOST DITEMUKAN: 192.168.7.210 port 445 TCP 23.00s
HOST DITEMUKAN: 192.168.3.36 port 445 TCP 26.09s
HOST DITEMUKAN: 192.168.7.249 port 22 TCP 32.47s
HOST DITEMUKAN: 192.168.5.5 port 445 TCP 32.47s
HOST DITEMUKAN: 192.168.3.200 port 23 TCP 32.47s
DEEP SCAN: 192.168.7.210 32.65s
HOST DITEMUKAN: 192.168.5.3 port 445 TCP 33.20s
DEEP SCAN: 192.168.3.36 35.15s
DEEP SCAN: 192.168.3.200 37.23s
DEEP SCAN: 192.168.5.3 42.38s
COMPLEMENTING SCAN: 192.168.7.0/24 47.68s
COMPLEMENTING SCAN: 192.168.5.0/24 51.39s
COMPLEMENTING SCAN: 192.168.3.0/24 53.21s
HOST DITEMUKAN: 192.168.7.121 port 139 TCP 53.22s
PROBING SELESAI 53.22s
SCAN SELESAI 53.22s
 53.22s
HASIL PEMINDAIAN: 192.168.0.0/21 53.22s
192.168.3.1,192.168.3.0/24,None 53.22s
192.168.3.200,192.168.3.0/24,23 53.22s
192.168.3.211,192.168.3.0/24,None 53.22s
192.168.3.213,192.168.3.0/24,135 53.22s
192.168.3.213,192.168.3.0/24,139 53.22s
192.168.3.213,192.168.3.0/24,445 53.22s
192.168.3.213,192.168.3.0/24,49152 53.22s
192.168.3.213,192.168.3.0/24,49153 53.22s
192.168.3.213,192.168.3.0/24,49154 53.22s
192.168.3.213,192.168.3.0/24,49155 53.22s
192.168.3.213,192.168.3.0/24,49156 53.22s
192.168.3.213,192.168.3.0/24,49157 53.22s
192.168.3.36,192.168.3.0/24,445 53.22s
192.168.5.1,192.168.5.0/24,None 53.22s
192.168.5.2,192.168.5.0/24,21 53.22s
192.168.5.3,192.168.5.0/24,445 53.22s
192.168.5.4,192.168.5.0/24,None 53.22s
192.168.5.5,192.168.5.0/24,135 53.22s
192.168.5.5,192.168.5.0/24,139 53.22s
192.168.5.5,192.168.5.0/24,445 53.22s
192.168.5.5,192.168.5.0/24,49152 53.22s
192.168.5.5,192.168.5.0/24,49153 53.22s
192.168.5.5,192.168.5.0/24,49154 53.22s
192.168.5.5,192.168.5.0/24,49155 53.22s
192.168.5.5,192.168.5.0/24,49156 53.22s
192.168.5.5,192.168.5.0/24,49157 53.22s
192.168.7.1,192.168.7.0/24,None 53.22s
192.168.7.121,192.168.7.0/24,135 53.22s
192.168.7.121,192.168.7.0/24,139 53.22s
192.168.7.121,192.168.7.0/24,445 53.22s
192.168.7.121,192.168.7.0/24,49152 53.22s
192.168.7.121,192.168.7.0/24,49153 53.22s
192.168.7.121,192.168.7.0/24,49154 53.22s
192.168.7.121,192.168.7.0/24,49155 53.22s
192.168.7.121,192.168.7.0/24,49156 53.22s
192.168.7.121,192.168.7.0/24,49157 53.22s
192.168.7.210,192.168.7.0/24,445 53.22s
192.168.7.249,192.168.7.0/24,22 53.22s
192.168.7.249,192.168.7.0/24,80 53.22s
192.168.7.82,192.168.7.0/24,None 53.22s
